Reviewer,Title,Review_Text,Rating,Date_of_Travel,Sentiment
LaWanda B,A laugh of service,"I am very irritated at ONE Male flight attendant. I flew on 12.12.24 at 1015 am from Dar Es Salaam to Nairobi. I have flown akenya airlines several times and never have I been so rudely treated. There were only 2 men on the flight, one named Obote who was a great asset to their team and the culprit who did not have on a name tag. I was seated in 12G in a chair that was slightly reclined. I tried to move the seat up but to no avail. Prior to ttakeoff this unnamed idiot came to me without saying a word to me, and started aggressively trying to move up my seat. It loudly stated that the seat would not move up to its proper place. He turned away rudely. I mentioned his ill behaved manner to Obote who apologized on his colleagues behalf. This she bustard came to me when doing dutyfree and put the magazine in my face without asking if I wanted duty free. I gave it back. Not sure if he has a problem with his mother or other women but I have never seen this type of exist behavior before in all of my travels worldwide. I already had to deal with a delayed and cancelled flight and now this behavior. I won't be recommending this 'pride of africa' airline to any of my colleagues.",1,Dec-24,Negative
Gustave C,Kenyan airways asked another 400 usd for my ticket on departure.,"Kenyan airways cancelled my ticket and I had to pay 400USD to make it valid again. Their argument: I bought two tickets for my trip from Mombasa to Nairobi and used only one, so I had to pay a penalty.",1,Dec-24,Negative
busib2015,Worst airline experience of my life.,I travelled home to SA from Nairobi 2 days ago and woke up still angry about the treatment I received off Kenyan airways staff. The girls were so unbelievably rude & hostile - ground and air hostesses. The only reason I’ll fly this airline again is because there’s scant choice in that region.,1,Dec-24,Negative
Odyssey6570,Worst experience I've ever had with an airline,"I just returned from a trip from Toronto to Uganda. I fly multiple times a year, and this was my first and last time flying with Kenya Airways. On my way to Africa they opened my luggage and went inside all of my travel cubes and toiletries, leaving all containers and pockets opened. As a result, my shampoo and conditioner went all over my stuff, including my medication. It's been 4 weeks, multiple emails and phone calls and nobody has been able to provide me with an answer or any type of compensation for this. Their customer service is absolutely awful. I fly to Africa regularly and will never fly with this company again. Save yourself a headache and book with another airline.",1,Nov-24,Negative
Julieclarotfos,AVOID PLEASE,"My experience with Kenya Airways has been an absolute nightmare: - Flights repeatedly changed and canceled with no proper alternatives. - Travel duration never ending, not knowing when we would head back home, we have been completely left in the dark for hours and had to book another route on our own - Lost luggage that took me a month to get back, - Customer service useless and dismissive. They've been stringing me along for over a year (started in december 2023), giving half-baked responses or completely irrelevant ones, clearly stalling in the hopes that I'd give up. Kenya Airways finally came up with a “compensation” : a laughable €90 voucher which I NEVER RECEIVED – a complete insult. I had seen bad reviews before, I definitely should have believed them. This company shows zero respect for its customers. Think twice before booking with them—you deserve better!!!",1,Jan-24,Negative
Odyssey6570...,Worst experience I've ever had with an airline,"I just returned from a trip from Toronto to Uganda. I fly multiple times a year, and this was my first and last time flying with Kenya Airways. On my way to Africa they opened my luggage and went inside all of my travel cubes and toiletries, leaving all containers and pockets opened. As a result, my shampoo and conditioner went all over my stuff, including my medication. It's been 4 weeks, multiple emails and phone calls and nobody has been able to provide me with an answer or any type of compensation for this. Their customer service is absolutely awful. I fly to Africa regularly and will never fly with this company again. Save yourself a headache and book with another airline.

As other comments have mentioned, they will also change your fly time constantly.",1,Nov-24,Negative
Julieclarotfos...,AVOID PLEASE,"AVOID AT ALL COSTS, COMPLETE FRAUD

My experience with Kenya Airways has been an absolute nightmare:
- Flights repeatedly changed and canceled with no proper alternatives.
- Travel duration never ending, not knowing when we would head back home, we have been completely left in the dark for hours and had to book another route on our own
- Lost luggage that took me a month to get back,
- Customer service useless and dismissive. They’ve been stringing me along for over a year (started in december 2023), giving half-baked responses or completely irrelevant ones, clearly stalling in the hopes that I’d give up.

Kenya Airways finally came up with a “compensation” : a laughable €90 voucher which I NEVER RECEIVED — a complete insult.

I had seen bad reviews before, I definitely should have believed them.

This company shows zero respect for its customers. Think twice before booking with them—you deserve better!!!

Clarot Julie",1,Jan-24,Negative
itten2018,"Not the pride of Africa, but the shadow of Africa","As a Flying Blue Silver member, this is the second time we have flown Business Class with Kenya Airways.
Last year in 2023 everything went smoothly and we were satisfied with the airline.
This year 2024, Kenya Airways first postponed our flight from Paris to Nairobi by half a day. Instead of 8:30 pm to 11:00 am This was ok as they gave us about 3 weeks notice. Nevertheless, in our case we had to book a hotel in Paris.
During our trip, Kenya Airways then canceled our connecting flight from Nairobi to Zanzibar. This resulted in a transit time of 10 hours through the night in Nairobi.
Instead of organizing everything for the passengers, they wanted us to fill out an e-visa for Kenya on our own so that we could get to a hotel. It was already close to midnight and we were just tired and the program for the visa application kept throwing us out. After an hour, we abandoned the exercise and spent the night at the airport.
Kenya Airways has been canceling their flights a lot lately and the way they handle this is not at all professional.
The inflight product and crew are friendly and professional. But what is with the management and operation is more than sad and unacceptable.
We didn't even get any compensation and or a sincere apology.",1,Nov-24,Negative
Jacqueline E,KQ Pride of Africa,"Great service with polite and attentive staff, clean cabin with tasty meals. I enjoyed the flight and will fly KQ again.",1,Oct-24,Negative
Global4143571...,Pure fraud,"We decided not to take our first flight from Nairobi to mombasa. We looked on the kenya airways website on how to notify of our absence or cancel our flight, but we were told we could only cancel our full round trip or nothing at all, so we did not cancel. When we showed up for our return flight from Mombasa, we were told that our return tickets had been canceled without notification because we did not cancel our first flight (read above: not an actual option), that the flight was full, and that if we wanted a new flight we would be charged the cost of the new flight plus a change fee. We cut our losses and booked with a new airline.

To sum up:
1. Kenya airways lied to us about their no-show policy,
2. Cancelled our reservation without telling us (we asked, and this is their deliberate policy),
3. Tried to gouge us for even more money.

Thieves. Fraud. Stay away.",1,Nov-24,Negative
Bok C,Delays,"Extremely poor, delays, with no explanation and within short notice..pathetic. I think it's unfortunate that KQ suddenly delays flights, which is sad. I thought I would not have this experience but it's just horrible",2,Nov-24,Negative
Luke U,Terrible inconsistencies,I wanted to take my guitar on a Kenya Airways flight and called ahead to make sure that it was possible. [...] I did not get that at all.,2,May-24,Negative
Jesca M,Worst service and carelessness to passengers luggages,"This my second time using Kenyan Airways, [...] I also hope I will get my bag with every single thing I packed in there.",2,Nov-24,Negative
Raymond B,Bad experience,I really wanna inform I have had the worst experience [...] Very poor.,2,Nov-24,Negative
irma s,"BAD SERVICE, and beware they forgot your luggage, and refusing paying compensation",Luggage delayed for more than 40 hours. [...] more than 40 hours!!!,2,May-24,Negative
Amac12345678,Terrible customer service and support,"Charged $150 to update a name from ben to benjamin, due to spell check. Unable to contact anyone and were unable to travel unless paying this fee",2,Oct-24,Negative
biGmo99,I might be one of the lucky ones,C'mon guys. I flew with KQ a couple of times recently. [...] Thank you Kenya Airways,4,Oct-24,Positive
Z6809LFsilviam,Very bad company,"Worst experience ever. Delays over Delays with no explanation, [...] Never again.",2,Nov-24,Negative
Relax5473474...,Delay flight & service,Very very terrible.....not like fly service....child very struggling....very bad service...flight 24 hours delay ......tourist plan destroyed....very bad experience,2,Oct-24,Negative
H9728CGrac...,Delays Delays Delays,I travel on Kenyan Airlines from JNB to DSS on Saturday 26th October. [...] 8 hours after the arrival time.,2,Oct-24,Negative
Paul R,London > Nairobi 2024,London to Nairobi (and return) Business class KQ101 & KQ100 September 2024 Overall 9/10 in its peer group. Choice of BA or Kenya. Picked Kenya because I don’t like the new squashed in business class suites on BA. I also find their in flight food unacceptably poor these days.,5,Sep-24,Neutral
NeilSchier,Lost glasses and true service,Flight from Victoria Falls to Cape Town. Plane was clean and tidy with good seating. My wife left her new reading glasses on plane. We went back to Cape Town airport 4 days later and were surprised and relieved when we were able to recover the glasses. Thank you for your service.,5,Aug-24,Positive
Msafi C,Seamless customer service.lome was not built in a day.keep it up,Amazing customer service from Jackie and Talava.your a true legend to the pride of Africa.keep it up!excellent service,5,Sep-24,Positive
Anders P P,Stability...!,"Travelled Paris to Joburg through Nairobi 23-24th August 2024 on B787 and B737, respectively. All flights on time. Checked in with breeze in CDG and went to the excellent lounge in Terminal 2E Hall K.",4,Aug-24,Positive
Ahmideus Z,"Ground Operations need to match Flight, Food & Crew","Flight out of Nairobi left late. No announcement. At the last minute the gate changed, no announcement again.",3,Jul-24,Neutral
cqfp123,Good experience except for extremely slow airport check-in,"Check-in was supposed to open 3 hours before the flight, but didn't open until 20 min later, and pax were made to wait outside of the terminal in the heat.",4,Jul-24,Neutral
Jen L,Easy way to fly from the USA to Kenya!,No issues or delays. The food was good and they had about 3 different meal services each flight. The entertainment was decent too.,4,May-24,Positive
Kwame K,The Pride of Africa,Excellent crew and smooth flight. Kenya airways has improved in recent times and clearly doing great in its services. Truly the pride of Africa,4,Jul-24,Positive
Perfectly Imper... B,"Thank you, it was a great flight",Perhaps one of the best flight experiences I’ve had in a long time. A short journey but it couldn’t have gone smoother. Thank you so much to the pilot and crew. Yasmine,5,Jun-24,Positive
Perfectly Imper... B,"Thank you, it was a great flight",Perhaps one of the best flight experiences I’ve had in a long time. A short journey but it couldn’t have gone smoother. Thank you so much to the pilot and crew.,5,Jun-24,Positive
Oriedo F,Not putting families together automatically is wrong.,"My family of four flew from JFK (New York City) to Nairobi on Kenya Airways trying for the first time this direct flight to Kenya after usually flying through Europe and then to Kenya. The pros: a direct flight, getting to Kenya faster. The service was adequate, the entertainment was adequate.",2,Jun-24,Neutral
anderspp,Good and reliable carrier,My wife flew Kigali via Nairobi to Dar es Salaam (and return) August 2024. A rescheduling of 2nd flight was announced clearly weeks prior to flights so no issues...,5,Aug-24,Positive
Msafi C,Seamless customer service.lome was not built in a day.keep it up,Amazing customer service from Jackie and Talava. you're a true legend to the pride of Africa. keep it up! excellent service,5,Sep-24,Positive
anderspp,Stability...!,"Travelled Paris to Joburg through Nairobi 23-24th August 2024 on B787 and B737, respectively. All flights on time... Crews are always fine, jolly, focused, responsive, and pleasurable.",5,Aug-24,Positive
ahmideusz,"Ground Operations need to match Flight, Food & Crew","So here’s the thing about Kenya Airways:- their flight crew is great, their inflight menu selection and service is great. Sadly the ground operations are far from it and that’s what brings it down...",2,Jul-24,Negative
cqfp123,Good experience except for extremely slow airport check-in,Booked by tour company. Reasonably user-friendly website and app... Check-in was unbelievably slow with each passenger spending 7-10 min at the counter...,2,Jul-24,Neutral
Jen L,Easy way to fly from the USA to Kenya!,Took the direct flight from JFK to NBO and then from NBO to JFK. Had no issues or delays... The food was good and they had about 3 different meal services each flight.,5,May-24,Positive
Trip12260847182,Never again!,"The good parts - there was decent leg room and a TV, and hand towels were handed out after boarding. The bad parts far outweighed the good though - food was inedible, had to practically beg for a cup of water...",2,Jun-24,Negative
Kwame K,The Pride of Africa,Excellent crew and smooth flight. Kenya airways has improved in recent times and clearly doing great in its services. Truly the pride of Africa,5,Jul-24,Positive
shirleyk20,Kenya Airways much preferred over other airlines,"We have travelled to Nairobi 8 times in the last few years... Booking assistance is simple, though.",4,Mar-24,Positive
Oriedo F,Not putting families together automatically is wrong.,My family of four flew from JFK... Boo to this policy for Kenya Airways!,3,Jun-24,Negative
nataliekA1377,Insecurity on an a flight???? Really?,Honestly for an airline with many flights... It is rather upsetting,2,Jun-24,Negative
Annemiek D,Delay,Arrival and departure flight were both delayed... delay was 3 hours for a 1.15 hours flight.,2,May-24,Negative
surbhit28,Best airlines,Kenya airways is one the best airways... will highly recommend this to everyone one..,5,May-24,Positive
stephen m,Great staff personnel,It was really sad when I received an email... she is so professional.,4,May-24,Positive
Lilleax93,Ok but not the best,Overall flight was good but nothing special... we had no choice as this was booked through a 3rd party.,3,May-24,Neutral
Jamal A,Perfect,On the 25 May 2024 my flight was cancelled and postponed... I am disciplined soldier who wishes he was on every flight I take with the airline.,5,May-24,Positive
Vanessa M,Beautiful experience on board but unpleasant experience during check in,I'll give my flowers to the Service on board... You should up your game Sharleen!,3,May-24,Neutral
Neil M,Average,We actually travelled AMS-NBO-SEZ-NBO-LHR on 4 flights total... and I know the Kenyans are very happy people!,3,May-24,Neutral
kolehrees456,Kenya airways.,Very nice flight and amazing service! Staff were very helpful and food was great! The televisions had a great range of movies and no luggage lost on the way or the way back. 5 stars 👍🏽,5,Mar-24,Positive
Tourist4114314...,Family holiday to remember,I have flown with my wife and children on holiday for 3 weeks from 19 March - 11 April 2024. Service was friendly and excellent and will recommend Kenya Airways to anyone as an affordable alternative to the mainstream airlines.,5,Mar-24,Positive
CKTGM,Direct flights make up for the drawbacks,"Service was fine, comfortable seats, easy check-in. But revolting meals. No pineapple juice despite Kenya being a primary, world class producer.",4,Feb-24,Mixed
anderspp,Cancelled and rescheduled fairly well handled,"Original flight cancelled with notice a day earlier, 15 hours delay. Compensation with Business Class upgrade. Rescheduled flights on time.",4,Apr-24,Positive
marieCoventry,Pleasantly surprised 1st time using this airline.,"Aircraft was clean, check-in quick & easy. Staff pleasant and polite. Good food. Overall very good experience.",5,Mar-24,Positive
M8420RWshar...,GOOD FLIGHTS AND GREAT STAFF,No problems whatsoever. Friendly staff. On board and connecting flights on time. Only annoyance was luggage collection for re-check.,5,Mar-24,Positive
fd721,Bad airline with no respect,"Flight okay, but paid extra for seat selection which was not honored. Refund refused. Poor customer service response.",3,Jan-24,Negative
127Fred,A Pride of Africa,"Eventless, punctual flight. Airline judged positively for stress handling. No major issues noted.",4,Mar-24,Positive
fd721,Terrible airway,Terrible service from Amsterdam to Nairobi. Paid for special seating but not honored. Poor staff interaction. Unresolved refund requests.,2,Jan-24,Negative
Phil R,Kenya Air not as bad as expected.,"Friendly staff, on time flights. Comfortable seats, decent food. Only issue was lack of jetways at some airports.",4,Feb-24,Positive
africanman_8,An unnecessary surcharge,"My flight was just fine. Kenya Airways continues to show improvement. I will definitely be flying on Kenya Airways in the future. I am giving Kenya Airways this poor rating because they charged me for excess baggage, they could have been more tolerant.",3,Sep-23,Neutral
jillsC3266RR,Great flight,Great flight. Punctual. Very friendly and efficient staff. Good food. Nothing to dislike. Would definitely use again.,5,Jan-24,Positive
Philip A,Exquisite Airline,The service on board this flight from Nairobi to London was exquisite. Rueben and his team made me and my family feel extremely comfortable and welcomed. The food was delicious and it made it even harder saying goodbye to the beautiful country of Kenya.,5,Dec-23,Positive
Peace A,Nice,They are helpful. They listen to you and try to understand you. They have quality customer service. They also try to satisfy their customers.,4,Feb-24,Positive
PHDBL,Technically the planes functioned well. Generally onboard staff did not seem bothered about non working equipment.,"The departure flight from Johannesburg to Nairobi was delayed twice and the plane downgraded. Actual flights fine. Return flight from Amsterdam had equipment missing, remotes for our screens and the sound did not work.",3,Jan-24,Neutral
Blessed B,Thanks for an amazing time in the friendly skies.,"I flew from Nairobi to Dubai. Special thanks to Chege and another gentleman. Crew was very helpful, checked on a toddler, provided baby’s water bottle, executed duties well and professionally.",5,Dec-23,Positive
Darryl R,The Pride of Africa,"The quality of service, friendliness of cabin crew, in flight entertainment and food served is as good, if not better, than most more expensive airlines.",5,Nov-23,Positive
judithbridget,Awesome,The service is awesome and the items for sale are good quality. Can we have a change of the sandwiches to something else...,4,Nov-23,Positive
Anders P,Passengers could have been better treated,"Kigali to Dar via Nairobi. Enjoyed lounges and service. Nightmare during delay and reroute from Nairobi due to aircraft issue, no announcements, poor management.",3,Sep-23,Negative
C7898GDrobe,Lovely flight,"Lovely flight, on time, staff excellent, great food. Compared positively to British Airways.",5,Nov-23,Positive
Scott G,Thank you Kenya Airways,Fantastic service. Four different flights and all were on time and the service was excellent.,5,Jul-23,Positive
africanman_8...,An unnecessary surcharge,Flight was fine but rated poorly due to surcharge for excess baggage.,3,Sep-23,Neutral
annita m,Kenya airways to kenya,"Arrived and departed on time, basic inflight food and entertainment.",4,Oct-23,Positive
georgie510,Excellent airline,"New Dreamliner, good food and service, all on time.",5,Oct-23,Positive
GBfroggy,Excellent experience,"Excellent service, clean aircraft, great cabin crew, flights on time.",5,Aug-23,Positive
Road6850078...,THE FLEXIBILITY IS INCREDIBLE,Extremely flexible and easy booking. Impressed with the service.,5,May-23,Positive
360Explorers,Good Service,Supportive in changing flight dates. Good service overall.,5,Sep-23,Positive
alanbU7087NY,Kenya Airways,Pretty good service with minimal delays.,4,Sep-23,Positive
RocklandMom,Thirsty Thirsty Flight,Flight was fine but criticized the lack of water provided.,3,Aug-23,Neutral
HappiDayzTr...,KQ is simply amazing,"Flights on time, good service, and luggage handling.",4,Jul-23,Positive
Yasmine,"Thank you, it was a great flight",Perhaps one of the best flight experiences I’ve had in a long time. A short journey but it couldn’t have gone smoother. Thank you so much to the pilot and crew.,5,Jun-24,Positive
Oriedo F,Not putting families together automatically is wrong.,My family flew from JFK to Nairobi on Kenya Airways. Direct flight was a plus. But we weren’t seated together and KQ insisted we pay more. Very frustrating.,3,Jun-24,Negative
anderspp,Good and reliable carrier,No delays apart from one flight. Cheap tickets. Good baggage allowance. Got frequent flyer miles.,4,Aug-24,Positive
Msafi C,Seamless customer service,Amazing customer service from Jackie and Talava. Keep it up!,5,Sep-24,Positive
anderspp,Stability...!,"Flights were on time, good lounge, meals okay. Enjoyable business class flight overall.",4,Aug-24,Positive
ahmideusz,"Ground Operations need to match Flight, Food & Crew","Flight delays, poor coordination on ground. Great onboard service but ground services ruined the experience.",2,Jul-24,Negative
cqfp123,Good experience except for extremely slow airport check-in,Check-in was painfully slow but rest of the experience was smooth and punctual.,3,Jul-24,Neutral
Jen L,Easy way to fly from the USA to Kenya!,Direct flight from JFK. Not luxurious but efficient. Friendly staff. Recommended.,4,May-24,Positive
Trip12260847182,Never again!,"Flight was delayed, poor food, staff disorganized, broken seats. Worst flying experience.",2,Jun-24,Negative
Kwame K,The Pride of Africa,Excellent crew and smooth flight. KQ is improving. Proud to fly with them.,4,Jul-24,Positive
