Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,country,state,total_population,gender,age,under_30,senior_citizen,partner,dependents,number_of_dependents,married,churn_value
Yes,1,71,Offer A,Yes,15.71,Yes,Yes,DSL,57,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Credit Card,90.3,6287.3,0.0,100,1115.41,7502.71,United States,California,13106,Male,48,No,No,Yes,Yes,3,Yes,0
No,0,30,Offer C,Yes,41.66,Yes,Yes,Fiber Optic,28,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,94.3,2679.7,0.0,0,1249.8,3929.5,United States,California,25569,Male,53,No,No,No,No,0,No,0
Yes,3,52,Offer B,Yes,5.65,No,No,no internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,20.4,1090.65,0.0,0,293.8,1384.45,United States,California,24908,Female,24,Yes,No,Yes,No,0,Yes,0
Yes,10,52,Offer B,Yes,5.32,Yes,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,25.05,1270.25,0.0,0,276.64,1546.89,United States,California,443,Female,30,No,No,Yes,No,0,Yes,0
No,0,24,no offer,Yes,8.99,Yes,Yes,DSL,5,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,55.65,1400.55,0.0,60,215.76,1676.31,United States,California,30587,Male,43,No,No,No,No,0,No,1
No,0,3,Offer E,Yes,25.04,No,Yes,Cable,17,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,70.7,225.65,0.0,0,75.12,300.77,United States,California,33817,Male,44,No,No,No,Yes,1,No,0
Yes,10,72,Offer A,No,0.0,No,Yes,Cable,14,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,53.8,3952.45,0.0,0,0.0,3952.45,United States,California,32143,Female,61,No,No,Yes,Yes,1,Yes,0
Yes,1,72,no offer,Yes,28.86,Yes,Yes,Fiber Optic,8,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,99.15,7422.1,0.0,0,2077.92,9500.02,United States,California,46105,Male,52,No,No,Yes,No,0,Yes,0
Yes,2,4,no offer,Yes,9.67,No,Yes,Cable,22,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,50.05,179.35,0.0,0,38.68,218.03,United States,California,42239,Male,50,No,No,Yes,No,0,Yes,1
No,0,1,Offer E,Yes,33.41,No,Yes,Fiber Optic,28,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,82.3,82.3,0.0,0,33.41,115.71,United States,California,615,Female,64,No,No,No,No,0,No,1
Yes,2,51,no offer,Yes,17.95,No,Yes,DSL,14,Yes,Yes,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,69.75,3562.5,0.0,0,915.45,4477.95,United States,California,303,Female,50,No,No,Yes,No,0,Yes,0
Yes,4,51,no offer,No,0.0,No,Yes,DSL,76,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,56.15,2898.95,0.0,0,0.0,2898.95,United States,California,58632,Female,42,No,No,Yes,Yes,3,Yes,0
No,0,72,Offer A,Yes,11.41,Yes,Yes,DSL,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,86.65,6224.8,0.0,0,821.52,7046.32,United States,California,8768,Male,39,No,No,No,No,0,No,0
No,0,64,Offer B,Yes,27.74,Yes,Yes,Fiber Optic,12,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.8,5327.25,0.0,0,1775.36,7102.61,United States,California,13779,Female,31,No,No,Yes,Yes,2,Yes,0
No,0,2,Offer E,No,0.0,No,Yes,Cable,73,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,25.05,56.35,0.0,0,0.0,56.35,United States,California,14088,Male,22,Yes,No,No,No,0,No,1
Yes,1,70,no offer,Yes,39.63,No,Yes,Fiber Optic,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.5,7534.65,0.0,0,2774.1000000000004,10308.75,United States,California,27424,Male,38,No,No,Yes,No,0,Yes,1
Yes,5,13,no offer,No,0.0,No,Yes,DSL,9,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,45.3,528.45,0.0,0,0.0,528.45,United States,California,33528,Female,68,No,Yes,Yes,No,0,Yes,0
No,0,52,Offer B,Yes,31.31,No,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,91.25,4738.3,0.0,0,1628.12,6366.42,United States,California,3070,Male,43,No,No,No,No,0,No,0
No,0,7,Offer E,Yes,47.19,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,20.75,141.1,0.0,0,330.33,471.43,United States,California,268,Male,44,No,No,No,No,0,No,0
Yes,1,4,Offer E,Yes,24.57,No,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Mailed Check,19.9,76.65,0.0,0,98.28,174.93,United States,California,17554,Male,25,Yes,No,Yes,Yes,1,Yes,0
No,0,2,no offer,Yes,37.43,No,Yes,Fiber Optic,18,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.85,197.7,0.0,0,74.86,272.56,United States,California,3674,Male,63,No,No,No,No,0,No,1
No,0,46,Offer B,No,0.0,No,Yes,DSL,18,No,No,Yes,Yes,No,No,No,Yes,One Year,No,Credit Card,33.7,1537.85,0.0,0,0.0,1537.85,United States,California,2615,Male,35,No,No,No,No,0,No,0
Yes,1,54,Offer B,Yes,36.09,Yes,Yes,DSL,59,No,No,Yes,No,No,Yes,Yes,Yes,Two Year,No,Credit Card,63.35,3409.1,0.0,0,1948.86,5357.96,United States,California,618,Male,29,Yes,No,Yes,Yes,3,Yes,0
No,0,1,Offer E,Yes,25.62,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.3,19.3,0.0,0,25.62,44.92,United States,California,52202,Female,58,No,No,No,No,0,No,1
Yes,5,72,Offer A,No,0.0,No,Yes,Cable,23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,65.7,4575.35,0.0,0,0.0,4575.35,United States,California,6691,Female,44,No,No,Yes,Yes,2,Yes,0
No,0,66,Offer A,Yes,45.57,Yes,Yes,DSL,11,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,74.6,4798.4,0.0,0,3007.62,7806.019999999999,United States,California,23394,Male,56,No,No,No,No,0,No,0
Yes,8,16,Offer D,Yes,46.45,Yes,Yes,Fiber Optic,12,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,112.95,1882.55,0.0,0,743.2,2625.75,United States,California,5447,Female,49,No,No,Yes,Yes,1,Yes,0
No,0,3,Offer E,Yes,49.4,No,Yes,Fiber Optic,10,No,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,88.35,262.05,0.0,0,148.2,410.25,United States,California,45755,Male,33,No,No,No,No,0,No,1
Yes,7,11,no offer,Yes,16.71,Yes,Yes,DSL,59,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,65.15,723.35,0.0,0,183.81,907.16,United States,California,7071,Male,19,Yes,No,Yes,Yes,2,Yes,0
Yes,6,71,Offer A,No,0.0,No,Yes,Cable,19,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,59.7,4122.65,0.0,0,0.0,4122.65,United States,California,1831,Female,44,No,No,Yes,Yes,1,Yes,0
No,0,9,no offer,No,0.0,No,Yes,DSL,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,34.7,296.1,0.0,0,0.0,296.1,United States,California,68802,Male,43,No,No,No,No,0,No,1
No,0,57,no offer,Yes,1.69,No,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.65,1125.6,0.0,0,96.33,1221.9299999999998,United States,California,15438,Male,60,No,No,No,No,0,No,0
No,0,9,no offer,Yes,48.71,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,0.0,0,438.39,1356.99,United States,California,28998,Male,65,No,Yes,No,No,0,No,1
Yes,6,62,no offer,Yes,32.28,Yes,No,no internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,23.75,1446.8,0.0,0,2001.36,3448.16,United States,California,8504,Male,26,Yes,No,Yes,No,0,Yes,0
No,0,72,no offer,Yes,31.93,No,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.9,1529.65,0.0,0,2298.96,3828.61,United States,California,407,Male,22,Yes,No,No,Yes,1,No,0
No,0,66,no offer,Yes,3.57,Yes,Yes,Fiber Optic,28,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,108.1,7238.6,0.0,0,235.62,7474.22,United States,California,27453,Female,72,No,Yes,No,No,0,No,0
No,0,16,no offer,No,0.0,No,Yes,DSL,24,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,39.0,679.85,0.0,0,0.0,679.85,United States,California,25232,Male,68,No,Yes,No,No,0,No,1
No,0,16,Offer D,Yes,33.44,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,20.6,330.25,0.0,0,535.04,865.29,United States,California,6691,Male,36,No,No,No,No,0,No,0
Yes,3,58,Offer B,Yes,27.93,No,No,no internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.55,1108.8,0.0,0,1619.94,2728.74,United States,California,55062,Male,54,No,No,Yes,No,0,Yes,0
No,0,4,Offer E,Yes,6.5,Yes,Yes,Fiber Optic,73,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.15,319.85,0.0,0,26.0,345.85,United States,California,73686,Female,27,Yes,No,No,No,0,No,0
Yes,9,72,Offer A,Yes,27.16,No,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.3,1401.15,0.0,0,1955.52,3356.67,United States,California,16812,Male,29,Yes,No,Yes,Yes,1,Yes,0
Yes,1,67,no offer,Yes,23.13,Yes,Yes,Fiber Optic,24,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,109.9,7332.4,0.0,0,1549.71,8882.11,United States,California,73006,Male,36,No,No,Yes,No,0,Yes,0
Yes,1,71,no offer,Yes,3.57,Yes,Yes,DSL,52,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,90.4,6668.05,0.0,0,253.47,6921.52,United States,California,21157,Male,25,Yes,No,Yes,No,0,Yes,0
No,0,72,Offer A,Yes,26.01,Yes,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,25.4,1809.35,0.0,0,1872.72,3682.07,United States,California,13309,Male,80,No,Yes,No,No,0,No,0
Yes,7,15,Offer D,Yes,24.27,No,Yes,Cable,27,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,46.3,639.45,0.0,0,364.05,1003.5,United States,California,616,Female,24,Yes,No,Yes,Yes,3,Yes,0
No,0,11,no offer,No,0.0,No,Yes,DSL,19,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,25.2,321.05,0.0,0,0.0,321.05,United States,California,10936,Female,49,No,No,No,Yes,1,No,0
Yes,9,43,Offer B,Yes,28.03,Yes,No,no internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,24.45,993.15,41.33,0,1205.29,2157.11,United States,California,19702,Female,59,No,No,Yes,Yes,1,Yes,0
No,0,3,Offer E,Yes,26.04,No,Yes,Cable,16,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,55.1,154.65,0.0,0,78.12,232.77,United States,California,15022,Female,43,No,No,No,Yes,2,No,1
Yes,4,24,no offer,Yes,31.62,Yes,Yes,DSL,12,Yes,Yes,No,No,Yes,Yes,Yes,No,One Year,No,Bank Withdrawal,78.4,1832.4,0.0,130,758.88,2721.28,United States,California,19391,Female,54,No,No,Yes,No,0,Yes,0
No,0,52,no offer,Yes,21.38,Yes,Yes,Cable,21,Yes,No,Yes,Yes,Yes,No,No,Yes,One Year,No,Credit Card,74.0,3877.65,0.0,0,1111.76,4989.41,United States,California,42544,Female,31,No,No,No,No,0,No,0
No,0,13,no offer,No,0.0,No,Yes,Cable,19,No,Yes,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,30.15,382.2,0.0,10,0.0,392.2,United States,California,13996,Female,50,No,No,No,Yes,2,No,0
Yes,1,1,Offer E,Yes,49.6,No,Yes,Fiber Optic,13,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,70.85,70.85,0.0,0,49.6,120.45,United States,California,13422,Male,65,No,Yes,Yes,No,0,Yes,1
No,0,55,no offer,Yes,26.3,Yes,Yes,DSL,23,No,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,77.8,4323.35,0.0,0,1446.5,5769.85,United States,California,261,Male,48,No,No,No,No,0,No,0
Yes,9,42,no offer,Yes,1.31,No,Yes,Fiber Optic,17,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,99.0,4135.0,0.0,0,55.02,4190.02,United States,California,41707,Female,54,No,No,Yes,No,0,Yes,0
No,0,2,no offer,Yes,27.67,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.75,44.2,0.0,0,55.34,99.54,United States,California,1809,Male,35,No,No,No,No,0,No,0
No,0,1,no offer,Yes,5.63,No,Yes,Cable,52,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,75.5,0.0,0,5.63,81.13,United States,California,36243,Male,26,Yes,No,No,No,0,No,0
No,0,27,no offer,Yes,42.91,Yes,Yes,Fiber Optic,5,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.45,2122.05,0.0,0,1158.57,3280.62,United States,California,38128,Male,80,No,Yes,No,No,0,No,1
Yes,1,17,Offer D,Yes,29.87,Yes,Yes,DSL,53,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,66.7,1077.05,0.0,0,507.79,1584.84,United States,California,23996,Male,48,No,No,Yes,Yes,3,Yes,0
No,0,2,Offer E,No,0.0,No,Yes,DSL,76,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,34.7,62.25,0.0,0,0.0,62.25,United States,California,266,Female,19,Yes,No,No,No,0,No,1
Yes,5,27,Offer C,Yes,3.43,Yes,Yes,DSL,21,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,83.85,2310.2,0.0,0,92.61,2402.81,United States,California,21728,Female,76,No,Yes,Yes,No,0,Yes,0
No,0,52,no offer,No,0.0,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,0.0,30,0.0,2580.9,United States,California,46171,Male,76,No,Yes,No,No,0,No,1
No,0,45,no offer,Yes,1.57,Yes,Yes,Fiber Optic,30,Yes,Yes,No,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,96.75,4442.75,0.0,0,70.65,4513.4,United States,California,15921,Female,58,No,No,No,No,0,No,0
Yes,2,71,no offer,Yes,39.44,No,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.1,1372.45,0.0,0,2800.24,4172.69,United States,California,2706,Female,26,Yes,No,Yes,No,0,Yes,0
No,0,36,Offer C,Yes,8.5,No,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,18.55,689.0,0.0,0,306.0,995.0,United States,California,47107,Male,33,No,No,No,No,0,No,0
No,0,15,no offer,Yes,9.74,No,No,no internet,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,20.1,302.45,0.0,0,146.1,448.55,United States,California,15396,Female,58,No,No,No,No,0,No,0
No,0,20,no offer,Yes,30.52,No,Yes,Fiber Optic,21,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.4,1871.15,0.0,0,610.4,2481.55,United States,California,5519,Female,48,No,No,No,No,0,No,0
Yes,9,71,Offer A,Yes,23.34,No,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.8,1396.25,0.0,0,1657.14,3053.3900000000003,United States,California,44103,Male,52,No,No,Yes,Yes,2,Yes,0
No,0,24,no offer,Yes,47.31,No,No,no internet,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,21.05,531.55,0.0,0,1135.44,1666.99,United States,California,58555,Female,55,No,No,No,No,0,No,0
No,0,71,no offer,Yes,41.92,Yes,Yes,Fiber Optic,53,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,111.25,7984.15,0.0,0,2976.32,10960.47,United States,California,17372,Female,29,Yes,No,No,No,0,No,0
Yes,2,9,Offer E,No,0.0,No,Yes,DSL,26,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,No,Mailed Check,40.65,328.95,0.0,0,0.0,328.95,United States,California,42733,Male,64,No,No,Yes,No,0,Yes,1
Yes,9,66,no offer,Yes,36.36,Yes,Yes,Cable,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,89.9,5958.85,0.0,0,2399.76,8358.61,United States,California,46371,Female,31,No,No,Yes,No,0,Yes,0
No,0,30,no offer,Yes,9.27,No,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.4,578.5,0.0,0,278.1,856.5999999999999,United States,California,174,Female,35,No,No,No,No,0,No,0
No,0,47,Offer B,Yes,36.78,No,Yes,DSL,25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,86.95,4138.9,0.0,0,1728.66,5867.56,United States,California,4242,Male,33,No,No,No,No,0,No,0
No,0,7,no offer,Yes,25.17,Yes,Yes,Fiber Optic,17,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.35,564.65,0.0,0,176.19,740.8399999999999,United States,California,32901,Female,63,No,No,No,No,0,No,0
No,0,1,no offer,No,0.0,No,Yes,DSL,26,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,35.55,35.55,0.0,0,0.0,35.55,United States,California,30814,Male,38,No,No,No,No,0,No,1
No,0,46,no offer,Yes,40.32,No,Yes,Cable,51,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,44.95,2168.9,0.0,0,1854.72,4023.62,United States,California,4948,Female,19,Yes,No,No,No,0,No,0
No,0,53,no offer,Yes,16.43,Yes,Yes,Fiber Optic,29,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,85.45,4517.25,0.0,0,870.79,5388.04,United States,California,74232,Male,38,No,No,No,No,0,No,1
No,0,62,no offer,Yes,24.48,No,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.0,1250.1,0.0,0,1517.76,2767.86,United States,California,732,Male,44,No,No,No,Yes,2,No,0
No,0,70,no offer,No,0.0,No,Yes,DSL,26,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,48.4,3442.8,0.0,0,0.0,3442.8,United States,California,24738,Male,23,Yes,No,No,No,0,No,0
Yes,3,16,Offer D,Yes,10.5,No,Yes,Fiber Optic,2,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,1461.15,0.0,0,168.0,1629.15,United States,California,30589,Female,56,No,No,Yes,No,0,Yes,0
No,0,15,no offer,Yes,30.54,No,Yes,DSL,11,Yes,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,58.95,955.15,0.0,0,458.1,1413.25,United States,California,27394,Female,57,No,No,No,No,0,No,0
No,0,45,no offer,Yes,1.03,No,Yes,Fiber Optic,47,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,100.3,4483.95,0.0,0,46.35,4530.3,United States,California,1449,Female,27,Yes,No,No,No,0,No,0
Yes,5,72,no offer,Yes,6.15,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,105.6,7581.5,0.0,0,442.8,8024.3,United States,California,45358,Male,59,No,No,Yes,No,0,Yes,0
Yes,1,13,no offer,Yes,42.23,No,No,no internet,0,No,No,No,No,No,No,No,No,Two Year,No,Mailed Check,19.55,265.3,0.0,0,548.99,814.29,United States,California,31622,Female,21,Yes,No,Yes,Yes,3,Yes,0
No,0,6,Offer E,Yes,45.67,No,Yes,DSL,71,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Credit Card,60.9,414.1,0.0,0,274.02,688.12,United States,California,18650,Male,29,Yes,No,No,No,0,No,0
Yes,1,18,Offer D,Yes,28.06,No,No,no internet,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.05,345.9,0.0,0,505.08,850.98,United States,California,6439,Male,56,No,No,Yes,Yes,3,Yes,0
Yes,6,68,no offer,Yes,16.09,Yes,Yes,Fiber Optic,53,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,103.75,7039.45,0.0,0,1094.12,8133.57,United States,California,26297,Female,32,No,No,Yes,Yes,3,Yes,0
Yes,1,64,Offer B,Yes,6.83,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,No,Bank Withdrawal,113.35,7222.75,0.0,20,437.12,7679.87,United States,California,2369,Female,63,No,No,Yes,Yes,1,Yes,0
No,0,34,Offer C,Yes,34.41,Yes,Yes,DSL,4,Yes,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Mailed Check,64.4,2088.75,0.0,0,1169.9399999999998,3258.69,United States,California,43491,Female,53,No,No,No,No,0,No,1
No,0,5,no offer,Yes,45.69,No,Yes,Cable,4,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,75.15,392.65,0.0,0,228.45,621.0999999999999,United States,California,592,Male,51,No,No,No,No,0,No,0
Yes,5,20,no offer,Yes,36.6,Yes,Yes,Fiber Optic,51,Yes,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,82.4,1592.35,33.43,0,732.0,2290.92,United States,California,36243,Female,26,Yes,No,Yes,Yes,1,Yes,1
Yes,1,64,no offer,Yes,4.76,No,Yes,Fiber Optic,8,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,104.05,6605.55,0.0,0,304.64,6910.1900000000005,United States,California,344,Male,61,No,No,Yes,No,0,Yes,0
Yes,4,26,no offer,Yes,46.24,No,Yes,Fiber Optic,4,No,No,Yes,No,Yes,No,No,Yes,Two Year,Yes,Credit Card,85.7,2067.0,0.0,0,1202.24,3269.24,United States,California,4198,Female,68,No,Yes,Yes,No,0,Yes,0
No,0,5,Offer E,Yes,24.32,No,Yes,Cable,22,Yes,No,No,Yes,No,No,No,No,Month-to-Month,No,Credit Card,53.85,259.8,22.96,10,121.6,368.44,United States,California,2144,Female,34,No,No,No,No,0,No,1
No,0,2,Offer E,Yes,6.85,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,20.05,39.25,0.0,0,13.7,52.95,United States,California,48690,Female,57,No,No,No,No,0,No,0
Yes,1,13,no offer,Yes,30.55,Yes,Yes,Fiber Optic,28,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,102.25,1359.0,0.0,0,397.15,1756.15,United States,California,460,Male,36,No,No,Yes,No,0,Yes,1
Yes,1,59,Offer B,Yes,20.5,Yes,Yes,Cable,53,Yes,No,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,69.1,4096.9,0.0,0,1209.5,5306.4,United States,California,1931,Male,30,No,No,Yes,No,0,Yes,0
No,0,17,Offer D,Yes,47.45,Yes,Yes,DSL,5,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,65.75,1111.2,0.0,0,806.6500000000001,1917.85,United States,California,235,Male,47,No,No,No,No,0,No,0
No,0,9,no offer,Yes,45.41,No,Yes,Fiber Optic,23,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,79.55,723.4,0.0,0,408.69,1132.09,United States,California,20408,Female,40,No,No,No,No,0,No,1
No,0,10,no offer,Yes,16.85,No,Yes,Fiber Optic,30,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,84.6,865.55,0.0,0,168.5,1034.05,United States,California,27047,Female,70,No,Yes,No,No,0,No,1
No,0,5,Offer E,Yes,43.51,No,Yes,Fiber Optic,17,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,85.4,425.9,0.0,0,217.55,643.4499999999999,United States,California,4354,Female,62,No,No,No,No,0,No,1
No,0,54,no offer,Yes,43.47,Yes,Yes,Fiber Optic,82,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.95,5639.05,0.0,0,2347.38,7986.43,United States,California,74232,Female,20,Yes,No,No,No,0,No,1
No,0,56,Offer B,Yes,37.15,Yes,Yes,Fiber Optic,13,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.4,4922.4,0.0,0,2080.4,7002.799999999999,United States,California,75929,Male,32,No,No,No,No,0,No,0
Yes,3,4,Offer E,Yes,9.56,Yes,Yes,Fiber Optic,48,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,101.15,385.9,0.0,0,38.24,424.14,United States,California,5256,Male,21,Yes,No,Yes,No,0,Yes,1
No,0,2,no offer,Yes,28.02,No,No,no internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.5,31.55,0.0,0,56.04,87.59,United States,California,1417,Female,23,Yes,No,No,No,0,No,1
No,0,62,Offer B,Yes,41.13,Yes,Yes,Cable,12,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,69.4,4237.5,0.0,0,2550.06,6787.56,United States,California,82,Male,55,No,No,No,No,0,No,0
Yes,1,27,no offer,Yes,45.82,No,Yes,Fiber Optic,13,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,101.25,2754.45,0.0,0,1237.14,3991.59,United States,California,47689,Female,72,No,Yes,Yes,No,0,Yes,1
No,0,1,Offer E,Yes,5.55,No,Yes,DSL,13,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,45.7,45.7,0.0,0,5.55,51.25,United States,California,18036,Male,57,No,No,No,No,0,No,1
